iter	RMSE
275	0.9459583796
276	0.9444443927
277	0.9439914641
278	0.9428548535
279	0.9425048668
280	0.9417944962
281	0.9412929645
282	0.9410479798
283	0.9398352261
284	0.937675031
285	0.9371317334
286	0.9367136171
287	0.9354861216
288	0.9351764334
289	0.9339390389
290	0.9335500144
291	0.9315929781
292	0.9313798712
293	0.9310402501
294	0.9296875089
295	0.928475972
296	0.9280879375
297	0.9274728988
298	0.9265787957
299	0.9249393372
300	0.9240558522
301	0.9234487672
302	0.923045818
303	0.9225863039
304	0.9222016232
305	0.9218630737
306	0.9207743851
307	0.9202772516
308	0.9198244357
309	0.9161174276
310	0.9156508159
311	0.9145230937
312	0.9128129358
313	0.9124765545
314	0.9109834028
315	0.9105248143
316	0.9100822326
317	0.9096512089
318	0.9083583336
319	0.9080702986
320	0.9065321305
321	0.9050516995
322	0.9041625859
323	0.9037554545
324	0.9025840305
325	0.902221213
326	0.9011185853
327	0.8996650894
328	0.8991681235
329	0.8980535145
330	0.8976964738
331	0.8958419335
332	0.89555112
333	0.894442095
334	0.8940986992
335	0.8933335904
336	0.8926370679
337	0.8924151297
338	0.8919920621
339	0.8907830221
340	0.890598778
341	0.8898090779
342	0.8894169697
343	0.8890223786
344	0.8880870718
345	0.8877203242
346	0.88744921
347	0.8870444225
348	0.8863691296
349	0.8860469062
350	0.8855896836
351	0.8851607523
352	0.8848624825
353	0.8847092451
354	0.88405203
355	0.8832729233
356	0.8829587005
357	0.8827583205
358	0.8814738585
359	0.8811030452
360	0.8795749188
361	0.8788428266
362	0.87817167
363	0.8769506157
364	0.8766937486
365	0.876369666
366	0.8759764842
367	0.87434383
368	0.874130226
369	0.8738555527
370	0.8736844672
371	0.8722602746
372	0.8716126444
373	0.8708867654
374	0.870001642
375	0.8696475785
376	0.8694162193
377	0.8692379326
378	0.8688444903
379	0.8684862993
380	0.8678934483
381	0.8674214085
382	0.867248186
383	0.866658777
384	0.8660974349
385	0.863004542
386	0.8617327634
387	0.8614252505
388	0.8612641127
389	0.8586119314
390	0.8571382422
391	0.85600942
392	0.8555032826
393	0.8552347238
394	0.854989207
395	0.8546165763
396	0.8542753199
397	0.8539794308
398	0.8534992333
399	0.852515301
400	0.8522364624
401	0.85140351
402	0.8511922343
403	0.8478559287
404	0.8476889976
405	0.8474828398
406	0.8471724023
407	0.8469629517
408	0.8461695468
409	0.845868112
410	0.8453152019
411	0.844883073
412	0.8426839512
413	0.8404890338
414	0.8397718935
415	0.83957764
416	0.8393996135
417	0.8389461813
418	0.8387472898
419	0.8385079389
420	0.836690151
421	0.8365212484
422	0.8358393602
423	0.8355989952
424	0.8352159004
425	0.8348277287
426	0.8344452126
427	0.8341965091
428	0.8339106605
429	0.832931946
430	0.8327037238
431	0.8314223876
432	0.8312150826
433	0.8308979826
434	0.8307747425
435	0.8302773155
436	0.8279078526
437	0.8271024316
438	0.8268762047
439	0.8266770219
440	0.8263878507
441	0.8260998411
442	0.8259233548
443	0.8256371194
444	0.8253634149
445	0.8251758869
446	0.8248177529
447	0.8246487504
448	0.8244959977
449	0.8241323485
450	0.8239548159
451	0.8237200936
452	0.8235205693
453	0.8233529691
454	0.8231123599
455	0.8228096448
456	0.8226670335
457	0.8220794976
458	0.8217887306
459	0.821014863
460	0.8195233004
461	0.819372329
462	0.819127162
463	0.8184656114
464	0.8181751242
465	0.8180181785
466	0.8173311206
467	0.8169742279
468	0.8161278183
469	0.8158401979
470	0.814827816
471	0.8146059357
472	0.8130682429
473	0.8122489281
474	0.8120469189
475	0.8118012422
476	0.8114690517
477	0.8110932836
478	0.8109229832
479	0.810606472
480	0.8104151385
481	0.8101253135
482	0.8093631987
483	0.8091844817
484	0.808784397
485	0.80864587
486	0.8078852587
487	0.8076241243
488	0.8067586
489	0.8065627095
490	0.8063708256
491	0.8061090912
492	0.8058601958
493	0.8056487924
494	0.8051931455
495	0.8045939584
496	0.8044587299
497	0.8042288518
498	0.8040618298
499	0.8026160288
500	0.8015039102
501	0.80128593
502	0.800303456
503	0.800145118
504	0.8000086729
505	0.7997660941
506	0.799585652
507	0.7994578216
508	0.7981809656
509	0.7976188321
510	0.7974675577
511	0.7971800525
512	0.7969326217
513	0.7966977297
514	0.7964688961
515	0.7961885028
516	0.7958943867
517	0.7956185597
518	0.7950635079
519	0.7939608513
520	0.793217503
521	0.7930202366
522	0.7927068351
523	0.7915258701
524	0.7913471988
525	0.7906520538
526	0.7904771529
527	0.790221427
528	0.7898468956
529	0.7896224431
530	0.7893895665
531	0.7892245329
532	0.7889914735
533	0.7887502251
534	0.788562563
535	0.7884126039
536	0.7872807071
537	0.7866243149
538	0.786419934
539	0.7862382561
540	0.7857236631
541	0.7855457875
542	0.7844195298
543	0.783908906
544	0.7836318353
545	0.7834222836
546	0.7823380881
547	0.7811171256
548	0.780874033
549	0.7807436328
550	0.7804912686
551	0.7803014035
552	0.7800538805
553	0.7798575097
554	0.7796253731
555	0.7794043051
556	0.7792190994
557	0.7785833366
558	0.7783073009
559	0.7763402496
560	0.7761710428
561	0.7753797554
562	0.7751511131
563	0.7739512892
564	0.7731066019
565	0.7729661751
566	0.7727961755
567	0.7725082903
568	0.7723248543
569	0.7721090475
570	0.7719502934
571	0.7713564223
572	0.7702624686
573	0.7700446287
574	0.7699159103
575	0.7697981767
576	0.769644168
577	0.7694980958
578	0.7692054908
579	0.7689777632
580	0.7674092305
581	0.7668259437
582	0.7662847249
583	0.7661277791
584	0.7658949197
585	0.7646599645
586	0.7645055349
587	0.7644158949
588	0.7640305727
589	0.7634092193
590	0.7628165787
591	0.7626494801
592	0.7624594412
593	0.7622586776
594	0.7621148007
595	0.7619354292
596	0.7613339502
597	0.7611723284
598	0.7610110828
599	0.7609069594
600	0.7604359965
601	0.7602657441
602	0.7600347896
603	0.75991228
604	0.7597563985
605	0.7596458029
606	0.7595520557
607	0.7591271102
608	0.7589982107
609	0.7582791402
610	0.75816512
611	0.7579767545
612	0.7570219749
613	0.7569195888
614	0.7559400483
615	0.7557348463
616	0.7554649021
617	0.7553465308
618	0.7551912044
619	0.7547329924
620	0.7542237491
621	0.7535654107
622	0.753224449
623	0.7527541189
624	0.7520959175
625	0.7510969949
626	0.7509326703
627	0.7507886228
628	0.750666948
629	0.7504243069
630	0.7499533231
631	0.7497859101
632	0.7493342131
633	0.7490809767
634	0.7489387056
635	0.7487630888
636	0.7486859514
637	0.7478261864
638	0.7469144931
639	0.7459630903
640	0.7447383235
641	0.744226341
642	0.7440949856
643	0.7432112693
644	0.7430813666
645	0.7428950434
646	0.7427513583
647	0.7423342202
648	0.7421960888
649	0.742070089
650	0.7419968739
651	0.7418189346
652	0.74172812
653	0.7413404293
654	0.7412237987
655	0.7408437906
656	0.7402664099
657	0.7401498557
658	0.7399818282
659	0.7398297481
660	0.7396599551
661	0.7395604437
662	0.7394273312
663	0.7392732809
664	0.7391728925
665	0.7382927292
666	0.7376909397
667	0.7375706278
668	0.7374684085
669	0.7373824016
670	0.7371228805
671	0.7369922976
672	0.735985733
673	0.7358628985
674	0.7356514497
675	0.7354271324
676	0.7349175142
677	0.7348158373
678	0.7346063883
679	0.7341653999
680	0.7340682224
681	0.7337131783
682	0.7336506125
683	0.7331157219
684	0.7329832069
685	0.7329034932
686	0.7327474633
687	0.7318532109
688	0.7317158328
689	0.7314403547
690	0.731309203
691	0.7312285185
692	0.7302179724
693	0.7299238231
694	0.7298152405
695	0.7297579516
696	0.7294151457
697	0.7292276193
698	0.7291006149
699	0.728985492
700	0.728739969
701	0.7286426566
702	0.728557161
703	0.7284211413
704	0.7283262909
705	0.7281604824
706	0.7279711286
707	0.7278460681
708	0.7274817829
709	0.7268473138
710	0.7266944943
711	0.726544318
712	0.7263730356
713	0.7262990113
714	0.7261808908
715	0.7258763436
716	0.7257530194
717	0.7248500499
718	0.7247209565
719	0.7245914116
720	0.7244154013
721	0.7241802058
722	0.7240357774
723	0.723776063
724	0.7236770838
725	0.7235734675
726	0.7234471567
727	0.7224580774
728	0.7223362085
729	0.7222467933
730	0.7218158273
731	0.7216896952
732	0.7212426901
733	0.7203873523
734	0.7202995976
735	0.7197308998
736	0.719357394
737	0.7193012439
738	0.719155637
739	0.7190650797
740	0.7183258055
741	0.7181554875
742	0.7180652413
743	0.7179753321
744	0.7176461254
745	0.7175498302
746	0.7174339976
747	0.7173011622
748	0.7171613703
749	0.717080865
750	0.7169423285
751	0.7166170939
752	0.7165178334
753	0.7164163997
754	0.7159608108
755	0.715592283
756	0.7154076793
757	0.7147687309
758	0.714625352
759	0.7145387846
760	0.7144237769
761	0.7142343021
762	0.714141238
763	0.713837303
764	0.7137237755
765	0.7136157258
766	0.7131832984
767	0.7130202048
768	0.7129400204
769	0.7128292759
770	0.7127323779
771	0.7127052304
772	0.7126116928
773	0.7124678599
774	0.7123172998
775	0.7121119232
776	0.7119919598
777	0.7118834885
778	0.7118009767
779	0.7111141643
780	0.7107135857
781	0.7103546701
782	0.7096633797
783	0.7093282976
784	0.7092122314
785	0.7084930305
786	0.7082231216
787	0.7076018844
788	0.7074729644
789	0.7072302099
790	0.7068916047
791	0.7066630804
792	0.7065770237
793	0.7063215363
794	0.7061993364
795	0.7056527462
796	0.7055288985
797	0.7054071504
798	0.70535395
799	0.7050290243
800	0.7049058118
801	0.7045905453
802	0.70412063
803	0.7040286343
804	0.7037963467
805	0.7036742687
806	0.703376258
807	0.703238814
808	0.702733513
809	0.7024696994
810	0.7023947636
811	0.7021068736
812	0.7020033327
813	0.7012536668
814	0.70034174
815	0.6996961817
816	0.6991579553
817	0.6986643091
818	0.6984087291
819	0.6983054859
820	0.6980412939
821	0.6979481465
822	0.6976415859
823	0.6974808679
824	0.6973566314
825	0.697063092
826	0.6963808018
827	0.6961696553
828	0.6959731657
829	0.6957773356
830	0.6956394752
831	0.6955229723
832	0.6954628097
833	0.6950717481
834	0.694986545
835	0.6949242499
836	0.6944867882
837	0.6944277278
838	0.6942829691
839	0.6937812197
840	0.6932792935
841	0.6929233388
842	0.6922023489
843	0.691855745
844	0.6911688615
845	0.6908352448
846	0.689781414
847	0.6894811146
848	0.689207918
849	0.6891045933
850	0.6883476645
851	0.6881380965
852	0.6880243162
853	0.6874797487
854	0.6873861776
855	0.6870276654
856	0.6869447489
857	0.6868311995
858	0.6864285254
859	0.6861742142
860	0.6860559512
861	0.685670987
862	0.6854634468
863	0.6853487634
864	0.6852540978
865	0.6851439952
866	0.6849020977
867	0.6847081351
868	0.6845801587
869	0.6843101806
870	0.6842467197
871	0.6841772823
872	0.6840303489
873	0.683976487
874	0.6833079293
875	0.6831823024
876	0.683069084
877	0.6829159302
878	0.6828154587
879	0.6821889539
880	0.6820999022
881	0.6819650648
882	0.6819066686
883	0.6815017875
884	0.6811459066
885	0.6809731194
886	0.6808160205
887	0.6807024488
888	0.6805999695
889	0.6805291472
890	0.6804308667
891	0.6802757006
892	0.6801919845
893	0.6801425428
894	0.6799536025
895	0.6793075532
896	0.6790859965
897	0.6789893332
898	0.6787881357
899	0.6783840805
900	0.6782971072
901	0.6781842724
902	0.6780711823
903	0.6779385351
904	0.6775655212
905	0.6772062705
906	0.677087788
907	0.6769486942
908	0.6768752201
909	0.6761888987
910	0.6753423436
911	0.6748119816
912	0.6747273651
913	0.6745889546
914	0.6743696676
915	0.6742947493
916	0.6741673587
917	0.6740498246
918	0.6736140659
919	0.6734805386
920	0.6734475849
921	0.6732953144
922	0.673120775
923	0.6729962892
924	0.6728347966
925	0.6723371322
926	0.6719315916
927	0.6711664534
928	0.6708683196
929	0.6703225137
930	0.6701755391
931	0.6696547143
932	0.6695416745
933	0.6688910793
934	0.6686077568
935	0.6685178293
936	0.6683784636
937	0.6682916873
938	0.6680774377
939	0.6679775262
940	0.6678809341
941	0.6677173455
942	0.667611777
943	0.667451258
944	0.6673620792
945	0.6672033212
946	0.6671220167
947	0.6667229479
948	0.6666516189
949	0.666465148
950	0.6663006513
951	0.6661295275
952	0.6660050173
953	0.6655404326
954	0.6654223283
955	0.6653523996
956	0.6652106791
957	0.6651672234
958	0.6650715459
959	0.6649405903
960	0.664799276
961	0.6646989232
962	0.6640422122
963	0.6636350621
964	0.6628157634
965	0.662710166
966	0.6624185141
967	0.6623342847
968	0.6620252924
969	0.6619028373
970	0.6616970637
971	0.6608572032
972	0.660750242
973	0.6606532318
974	0.660257067
975	0.660128572
976	0.6600328463
977	0.6596321617
978	0.6595556631
979	0.6594897173
980	0.6594048965
981	0.6593193074
982	0.6592338523
983	0.6591407741
984	0.6590421725
985	0.658965693
986	0.658443224
987	0.6583677135
988	0.6582399776
989	0.6581006977
990	0.6574182175
991	0.6572957693
992	0.65710999
993	0.6569839702
994	0.6564610745
995	0.6562316995
996	0.655811749
997	0.6557157256
998	0.6556461908
999	0.6555351481
